value,pod_name
193,consumer-xl6cj
973,consumer-x7b4c
4,consumer-jdlpp
101,consumer-jdlpp
611,consumer-6lr9g
697,consumer-23022
540,consumer-jdlpp
18,consumer-q536g
813,consumer-xl6cj
474,consumer-q5r2x
388,consumer-jdlpp
153,consumer-c2t99
310,consumer-q5r2x
317,consumer-6lr9g
407,consumer-n84kv
429,consumer-jdlpp
273,consumer-c2t99
959,consumer-n84kv
211,consumer-c2t99
937,consumer-23022
632,consumer-kpmk7
898,consumer-c2t99
58,consumer-jdlpp
753,consumer-c2t99
378,consumer-xl6cj
619,consumer-jdlpp
445,consumer-c2t99
974,consumer-q536g
99,consumer-x7b4c
496,consumer-q536g
478,consumer-jdlpp
132,consumer-n84kv
980,consumer-kpmk7
276,consumer-q536g
778,consumer-23022
60,consumer-x7b4c
299,consumer-x7b4c
59,consumer-c2t99
5,consumer-jdlpp
570,consumer-6lr9g
53,consumer-kpmk7
796,consumer-q5r2x
84,consumer-x7b4c
660,consumer-kpmk7
208,consumer-q536g
794,consumer-jdlpp
373,consumer-q536g
342,consumer-23022
524,consumer-6lr9g
239,consumer-6lr9g
226,consumer-x7b4c
477,consumer-c2t99
175,consumer-q536g
92,consumer-jdlpp
892,consumer-c2t99
805,consumer-n84kv
420,consumer-23022
749,consumer-6lr9g
923,consumer-n84kv
537,consumer-kpmk7
480,consumer-q536g
100,consumer-6lr9g
843,consumer-xl6cj
651,consumer-6lr9g
319,consumer-jdlpp
42,consumer-jdlpp
988,consumer-jdlpp
258,consumer-kpmk7
282,consumer-23022
45,consumer-x7b4c
498,consumer-kpmk7
732,consumer-x7b4c
845,consumer-c2t99
727,consumer-xl6cj
662,consumer-6lr9g
227,consumer-q536g
842,consumer-jdlpp
754,consumer-q536g
641,consumer-kpmk7
1,consumer-q536g
918,consumer-23022
343,consumer-kpmk7
291,consumer-n84kv
104,consumer-kpmk7
257,consumer-q5r2x
775,consumer-jdlpp
36,consumer-jdlpp
